answer_text,word_count,dream_entry_title,date,respondent,survey,"Sex Assigned at Birth","Typical Dreams: Falling","Age Range",Age,"ZIP Code","Income Tier","Income (values)",Race/Ethnicity,"Education Level","Education Level (values)","Race/Ethnicity (values)",Region,"College Degree","Race Recode","Political Ideology","Political Ideology 2","Religious Affiliation A","Born Again Christian","Marital status","Marital Status A",<none>,"Coffee drinkers at home","<BR>Do you or anyone in your household brew any of the coffee consumed at home on a Keurig single brew (k-cup) machine?","Religious Worship A","Tea Party Views","Passport Ownership","US State of Residence",ID,"Political Party x Race/Ethnicity","Marital Status & Gender",TIME,Total,"Would you be interested in speaking with a reporter about the results of this survey?","More Spiritual Than Religious","Insomnia Nights Per Week A",Likelihood,"Ideology Recoded","Typical Dreams: Flying",DATE1,DATE2,Generation,"Earliest Remembered Dream: Recurrent","2008 President","Hours of sleep per night","Typical Dreams: Sexual","Parent of a young child","Would you be interested in participating in an interactive online focus group in the future?","Sexual Dreams Before Waking Sexual Activity","Typical Dreams: Just Like Waking Life","Typical Dreams: Awareness","Typical Dreams: Control","Most Recent Dream: Recurrent","Worst Nightmare: Recurrent",Registered,"2008 Presidential Vote","Political Party","Dream Recall","2008 results","Nightmare Recall",Party,"Talking About Dreams","Typical Dreams: Visitation","Typical Dreams: Being Chased or Attacked","Race/Ethnicity D"
"My entire family lived in a small town and we were all at my parents house for a party (which usually happened in real life when I was younger) when we hear on the news something horrible has happened & we were instructed to stay inside. Panicing, we try to find all the children to get them inside. 1 of my cousins was missing so we sent a search party. He was hiding in one of the closets but before everyone could get back to the house a T-rex (dinosaur) and pack of raptors begin to hunt us. It's a rush to get to the house. We were locked in the basement w/the raptors trying to get in the wrought iron gate.",123,"Dream Text: Worst Nightmare",2010-08-03T05:11:56+00:00,zogby_052110:2155,"2010 Demographic Survey",Female,No,18-24,18-29,85306,"Low income",$25-35K,White,"High School Degree",HSGrad,White,West,"No College Degree",1,VCons,"Extremely conservative",Protestant,Yes,Single,"Single, never married",23.00,Yes,No,Rarely,"Not Important",No/NS,Arizona,"941,242","White Rep","Other Female","52,231",Total,Yes,Yes,1,"Very likely",Conservative,No,21,21,"First Globals",Yes,McCain,7,Yes,No,,No,"Not sure",No,No,No,Yes,Yes,McCain,Republican,"Almost every morning or more often",McCain,"Several times a week",Republican,"Several times a week",No,No,No/NS
"I was back in my father's hospital room, as it was a week before he died. He was begging me to help him, but I couldn't move.",27,"Dream Text: Worst Nightmare",2010-08-03T05:11:58+00:00,zogby_052110:2992,"2010 Demographic Survey",Male,No,25-34,18-29,6614,"Low income",$25-35K,White,"College Degree",Col+,White,Northeast,"College Degree+",1,Prog,2,Other/None,,Single,"Single, never married",25.00,No,No,Rarely,"Not Important",No/NS,Connecticut,"824,851","White Dem","Other Male","54,191",Total,"Not sure",No,6,"Very likely",Liberal,No,21,21,"First Globals",,Obama,"5 or less",Yes,No,,Yes,No,"Not sure",No,,No,Yes,Obama,Democratic,"1 to 3 times a month",Obama,Never,Democratic,Never,Yes,No,No/NS
"FAMILY BEING ATTACKED",3,"Dream Text: Worst Nightmare",2010-08-03T05:11:58+00:00,zogby_052110:3080,"2010 Demographic Survey",Female,Yes,25-34,18-29,99709,"Low-middle income",$35-50K,White,"College Degree",Col+,White,West,"College Degree+",1,Mod,3,,,Single,"Single, never married",25.00,Yes,No,Holidays,"Not Important",Yes,Alaska,"1,184,843","White Dem","Other Female","53,803",Total,No,No,0,"Very likely",Moderate,Yes,21,21,"First Globals",No,Obama,9.5,Yes,No,,"Not sure",Yes,Yes,No,No,No,Yes,Obama,Democratic,"Several times a week",Obama,"Less than once a month",Democratic,"Several times a week",No,Yes,No/NS
"It was about a really bad earth quake and I was in my house and my house was literally bending due to the shaking",24,"Dream Text: Worst Nightmare",2010-08-03T05:11:53+00:00,zogby_052110:278,"2010 Demographic Survey",Male,No,18-24,18-29,43230,,,White,"Some College",SomeCol,White,Midwest,"No College Degree",1,Prog,"Extremely liberal",Other/None,,Single,"Single, never married",23.00,Yes,No,Never,"Not Important",Yes,Ohio,"967,761","White Ind","Other Male","54,228",Total,No,No,0,"Very likely",Liberal,Yes,21,21,"First Globals",,Obama,7.5,Yes,No,,No,Yes,Yes,Yes,,No,Yes,Obama,Other,"Once a week",Obama,"Less than once a month",Independent,"Not sure",Yes,Yes,No/NS
"I got in a knife fight with a monkey and it gave me lupis.",14,"Dream Text: Worst Nightmare",2010-08-03T05:11:57+00:00,zogby_052110:2469,"2010 Demographic Survey",Male,No,25-34,30-44,82070,"Upper-middle income",$75-100K,White,"College Degree",Col+,White,West,"College Degree+",1,Mod,4,Other/None,,Married,Married,32.00,Yes,No,Never,"Not Important",Yes,Wyoming,"806,542","White Dem","Married Male","55,053",Total,Yes,"NS/not religious or spiritual",0,"Very likely",Moderate,No,21,21,Nikes,,Obama,9,No,Yes,Yes,,No,Yes,Yes,,No,Yes,Obama,Democratic,"Less often than once a month",Obama,"Less than once a month",Democratic,Never,No,No,No/NS
"Being chased by a combination of Freddy Krueger and one of my mom's asshole boyfriends down a dark alley.",19,"Dream Text: Worst Nightmare",2010-08-03T05:11:58+00:00,zogby_052110:3081,"2010 Demographic Survey",Female,Yes,25-34,18-29,93109,"Middle income",$50-75K,Other,"College Degree",Col+,Other,West,"College Degree+",0,Cons,7,Other/None,,Single,"Single, never married",28.00,Yes,No,Never,"Somewhat important",Yes,California,"826,954",Other,"Other Female","55,344",Total,"Not sure",Yes,1,"Very likely",Conservative,Yes,21,21,"First Globals",Yes,Other,7.5,Yes,No,,No,Yes,Yes,Yes,No,Yes,Yes,"Someone else",Republican,"Several times a week",Other,"Two or three times a month",Republican,"About once a week",Yes,Yes,
"Losing one of my children...tho I can't remember the dream in full detail.",14,"Dream Text: Worst Nightmare",2010-08-03T05:12:01+00:00,zogby_052110:4265,"2010 Demographic Survey",Female,Yes,25-34,18-29,28601,"High income",$100+,Other,"Some College",SomeCol,Other,South,"No College Degree",0,VCons,"Extremely conservative",Protestant,Yes,Married,Married,27.00,Yes,No,Weekly,"Somewhat important",No/NS,"North Carolina","1,152,453",Other,"Married Female","55,924",Total,No,"NS/not religious or spiritual",3,"Very likely",Conservative,Yes,21,21,"First Globals",Yes,McCain,6.5,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,McCain,Republican,"1 to 3 times a month",McCain,"Less than once a month",Republican,"Two or three times a month",Yes,Yes,No/NS
"dreamed that I was about to be executed by guillotine",10,"Dream Text: Worst Nightmare",2010-08-03T05:12:01+00:00,zogby_052110:4706,"2010 Demographic Survey",Male,Yes,25-34,18-29,73160,"Middle income",$50-75K,White,"College Degree",Col+,White,Midwest,"College Degree+",1,Libert,"Extremely conservative",Protestant,Yes,Married,Married,28.00,Yes,No,1-2/Mo,"Somewhat important",Yes,Oklahoma,"85,633","White Ind","Married Male","57,227",Total,No,"NS/not religious or spiritual",1,"Very likely",Libert,Yes,21,21,"First Globals",,Other,7.5,Yes,No,,Yes,Yes,Yes,No,,No,Yes,Barr,Libertarian,"1 to 3 times a month",Other,"Less than once a month",Independent,"Less than once a month",Yes,Yes,No/NS
"I was chased and attacked by demons. I tried to ""rebuke"" them in the name of Christ, as I've heard you should do in real life if ever confronted by demons, but they just kept coming toward me. They were hitting me, throwing me around and otherwise tormenting me. I woke up in a cold sweat; only time I can remember that happening. I was a teenager at the time, but I was so freaked out, I woke up my mother. She came and slept in my bed the rest of the night.",93,"Dream Text: Worst Nightmare",2010-08-03T05:12:01+00:00,zogby_052110:4872,"2010 Demographic Survey",Female,Yes,25-34,18-29,27103,"High income",$100+,White,"College Degree",Col+,White,South,"College Degree+",1,Mod,4,Protestant,Yes,Married,Married,27.00,Yes,No,1-2/Mo,"Not Important",Yes,"North Carolina","1,057,551","White Dem","Married Female","57,610",Total,Yes,No,1,"Very likely",Moderate,No,21,21,"First Globals",No,Obama,8.5,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Obama,Democratic,"1 to 3 times a month",Obama,"Less than once a month",Democratic,"Two or three times a month",Yes,No,No/NS
"I former girlfriend that I remain friends with was in a very serious reltionship with someone else and being very physically affectionate right in front of me even though they knew it bothered me. While not ""scary"" so to speak it left me feeling really distrubed for a couple of days.",51,"Dream Text: Worst Nightmare",2010-08-03T05:11:59+00:00,zogby_052110:3698,"2010 Demographic Survey",Male,Yes,25-34,18-29,"Refused to answer","Middle income",$50-75K,White,"College Degree",Col+,White,,"College Degree+",1,Cons,6,Catholic,,Single,"Single, never married",26.00,Yes,No,Weekly,"Somewhat important",Yes,"Outside US","1,174,139","White Ind","Other Male","57,466",Total,"Not sure",Yes,4,"Very likely",Conservative,Yes,21,21,"First Globals",No,McCain,6.5,Yes,No,,Yes,Yes,Yes,No,No,Yes,Yes,McCain,Independent/unenrolled/Unaffiliated,"Once a week",McCain,"Less than once a month",Independent,"Less than once a month",Yes,Yes,No/NS
"It was like a movie. I was myself, but could also see scenes happening outside myself. I had it when I was in elementary school. It began w/my older brother & I playing in the front yard of our suburban home. A car drives up and a man driving asks if our parents were home. We instantly knew he was a murderous child molester and ran screaming to the house. Our parent immediately packed us into the car and we drove to 'the mall"" though it was nothing I recognized. This molester-man was chasing us through the nearly empty mall. We were all separated from one another. If I jumped high enough, I could fly through the halls away from him and in search of my brother and parents. Eventually I met up w/my brother and we escaped the mall and drove home (he drove). It then skipped to a scene where my brother and I were in our living room and talking to a third party about now having to care for ourselves and this overwhelming feeling of loss and that our parents were dead. The last thing I remember is trying to feed the unresponsive body of my mother tea. I woke up crying.",208,"Dream Text: Worst Nightmare",2010-08-03T05:12:01+00:00,zogby_052110:4986,"2010 Demographic Survey",Female,Yes,25-34,18-29,28701,"Low income","< $25K",White,"College Degree",Col+,White,South,"College Degree+",1,Prog,2,Catholic,,Married,Married,27.00,Yes,No,Rarely,"Not Important",No/NS,"North Carolina","1,024,950","White Dem","Married Female","59,285",Total,Yes,Yes,4,"Very likely",Liberal,Yes,21,21,"First Globals","Not sure",Obama,8,Yes,No,,"Not sure",Yes,Yes,Yes,No,No,Yes,Obama,Democratic,"Almost every morning or more often",Obama,"Several times a week",Democratic,"Several times a week",Yes,Yes,No/NS
"I was flying on a plane with a friend, we were sitting in the middle three seats of a large jet (2-3-2 seat set-up) and then all of a sudden the plan started shaking and then spinning and plummeting to the ground,my friend and i were screaming and crying and praying, and then we crash landed and I thought I had died.",66,"Dream Text: Worst Nightmare",2010-08-03T05:12:05+00:00,zogby_052110:6881,"2010 Demographic Survey",Female,Yes,25-34,18-29,15233,,,White,"College Degree",Col+,White,Northeast,"College Degree+",1,Lib,2,Protestant,No/NS,Single,"Single, never married",28.00,Yes,No,1-2/Mo,"Not Important",Yes,Pennsylvania,"1,008,358","White Dem","Other Female","61,987",Total,Yes,Yes,0,"Very likely",Liberal,Yes,21,21,"First Globals",No,Obama,7.5,Yes,No,,"Not sure",Yes,Yes,Yes,No,No,Yes,Obama,Democratic,"Several times a week",Obama,"Less than once a month",Democratic,"Two or three times a month",No,Yes,No/NS
"my mom got chopped up by a bad guy",9,"Dream Text: Worst Nightmare",2010-08-03T05:12:01+00:00,zogby_052110:4417,"2010 Demographic Survey",Male,Yes,25-34,18-29,76904,"Low income",$25-35K,White,"Some College",SomeCol,White,South,"No College Degree",1,VCons,"Extremely conservative",Other/None,,Married,Married,26.00,No,No,Weekly+,"Not Important",Yes,Texas,"1,030,754","White Rep","Married Male","62,599",Total,"Not sure",Yes,"Not sure","Very likely",Conservative,Yes,21,21,"First Globals",,Other,"5 or less",Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,"Did not vote",Republican,"Less often than once a month",Other,"Less than once a month",Republican,Never,Yes,Yes,No/NS
"I was on a beach and I was trying to get away from a werewolf that was hiding in this tin roof shack on the shore. The werewolf came out and ripped up these orange life jackets and then suddenly I was in a house that was mine (but not really) and my grandmother was being taken away in an ambulance because she was having a stroke. It was pretty traumatic which is why I still remember it to this day.",81,"Dream Text: Worst Nightmare",2010-08-03T05:12:00+00:00,zogby_052110:3843,"2010 Demographic Survey",Male,Yes,18-24,18-29,65807,"Low income","< $25K","Black or African American","College Degree",Col+,AfrAmer,Midwest,"College Degree+",3,Prog,2,Protestant,No/NS,Single,"Single, never married",24.00,No,No,1-2/Mo,"Not Important",Yes,Missouri,"887,655","AA Dem","Other Male","62,543",Total,No,Yes,1,"Very likely",Liberal,No,21,21,"First Globals",,Obama,"5 or less",Yes,No,,Yes,Yes,"Not sure",Yes,No,No,Yes,Obama,Democratic,"Several times a week",Obama,"Two or three times a month",Democratic,"Less than once a month",Yes,Yes,No/NS
"Being chased and walking aimlessly through a camp filled with demons, not being able to find my way out. I determined I must be in hell as I was burning and forced to carry heavy objects that made it impossible for me to run away. My shoes were also taken from me.",52,"Dream Text: Worst Nightmare",2010-08-03T05:12:05+00:00,zogby_052110:6685,"2010 Demographic Survey",Male,No,25-34,30-44,60016,"High income",$100+,White,"College Degree",Col+,White,Midwest,"College Degree+",1,Mod,5,Catholic,,D/W/S,Divorced/separated,30.00,No,No,Weekly,"Somewhat unimportant",Yes,Illinois,"819,658","White Ind","Other Male","62,755",Total,No,No,1,"Very likely",Moderate,No,21,21,"First Globals",Yes,Obama,6,Yes,No,,Yes,Yes,No,Yes,No,Yes,Yes,Obama,Independent/unenrolled/Unaffiliated,"Several times a week",Obama,"Several times a week",Independent,"About once a week",Yes,Yes,No/NS
"Being chased by an unknown fear resulting in night terrors",10,"Dream Text: Worst Nightmare",2010-08-03T05:12:07+00:00,zogby_052110:8192,"2010 Demographic Survey",Male,Yes,25-34,18-29,86001,"Low income",$25-35K,White,"College Degree",Col+,White,West,"College Degree+",1,Prog,"Extremely liberal",Other/None,,Single,"Single, never married",26.00,No,No,Never,"Not Important",Yes,Arizona,"1,040,261","White Ind","Other Male","65,109",Total,No,"NS/not religious or spiritual",0,"Very likely",Liberal,Yes,21,21,"First Globals",Yes,Obama,7,Yes,No,,Yes,Yes,Yes,Yes,,No,Yes,Obama,Independent/unenrolled/Unaffiliated,"Several times a week",Obama,"Two or three times a month",Independent,"Less than once a month",Yes,Yes,No/NS
"Lots of death of family members",6,"Dream Text: Worst Nightmare",2010-08-03T05:11:59+00:00,zogby_052110:3614,"2010 Demographic Survey",Male,Yes,25-34,18-29,6511,,,White,"College Degree",Col+,White,Northeast,"College Degree+",1,Prog,"Extremely liberal",Jewish,,Single,"Single, never married",27.00,Yes,No,Holidays,"Not Important",Yes,Connecticut,"290,735","White Dem","Other Male","66,395",Total,Yes,No,0,"Very likely",Liberal,No,21,21,"First Globals",,Obama,7,Yes,No,,Yes,Yes,"Not sure",No,No,No,Yes,Obama,Democratic,"1 to 3 times a month",Obama,"Two or three times a month",Democratic,"Less than once a month",Yes,Yes,No/NS
"When I was very, very young, I remember having a dream where I was listening to some popular, minor-key 80s new wave song. It had a slow tempo. I don't remember which song it was, but I was in some futuristic place and there was a hologram talking to me, it was my father telling me he was going away forever. I was crushed and horribly afraid of that, even in my waking life as a child. No nightmares that I have now compare with that one, no matter how bad they are.",94,"Dream Text: Worst Nightmare",2010-08-03T05:12:00+00:00,zogby_052110:4108,"2010 Demographic Survey",Male,No,25-34,18-29,"Refused to answer","Upper-middle income",$75-100K,White,"College Degree",Col+,White,Midwest,"College Degree+",1,Prog,"Extremely liberal",Other/None,,Single,"Single, never married",1.22,Yes,No,Never,"Not Important",Yes,Illinois,"288,544","White Dem","Other Male","67,133",Total,No,"NS/not religious or spiritual",0,"Very likely",Liberal,Yes,21,21,"First Globals",No,Obama,7,Yes,No,,Yes,Yes,No,No,,No,Yes,Obama,Democratic,"1 to 3 times a month",Obama,"Two or three times a month",Democratic,Never,No,Yes,No/NS
"Family home being devastated in a tornado.",7,"Dream Text: Worst Nightmare",2010-08-03T05:11:58+00:00,zogby_052110:3000,"2010 Demographic Survey",Male,Yes,25-34,18-29,48212,"Low income","< $25K",White,"College Degree",Col+,White,Midwest,"College Degree+",1,Mod,5,Other/None,,Single,"Single, never married",27.00,Yes,No,Rarely,"Somewhat unimportant",Yes,Michigan,"977,064","White Ind","Other Male","67,202",Total,Yes,"NS/not religious or spiritual",1,"Very likely",Moderate,Yes,21,21,"First Globals",,Obama,8,Yes,No,,"Not sure","Not sure",Yes,"Not sure",No,Yes,Yes,Obama,Independent/unenrolled/Unaffiliated,"1 to 3 times a month",Obama,"Two or three times a month",Independent,"Less than once a month",Yes,Yes,No/NS
"Till I was about 25 years old I would have nightmares of Godzilla walking around the outside of [my childhood] tiny one-level house looking in all the windows looking for me to eat me.",35,"Dream Text: Worst Nightmare",2010-08-03T05:12:03+00:00,zogby_052110:5838,"2010 Demographic Survey",Female,Yes,25-34,18-29,16229,"Low income","< $25K",White,"Some College",SomeCol,White,Northeast,"No College Degree",1,VCons,"Extremely conservative",Other/None,,D/W/S,Divorced/separated,27.00,Yes,No,Rarely,"Somewhat important",No/NS,Pennsylvania,"1,167,255","White Ind","Other Female","69,462",Total,"Not sure",Yes,"Not sure","Very likely",Conservative,No,21,21,"First Globals",Yes,McCain,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,"Not sure",Yes,McCain,Constitution,"Several times a week",McCain,"Less than once a month",Independent,"Several times a week",No,Yes,No/NS
"don't remember many details, but I've dreamed about family members dying, and woken up crying.",15,"Dream Text: Worst Nightmare",2010-08-03T05:12:04+00:00,zogby_052110:6090,"2010 Demographic Survey",Female,Yes,25-34,18-29,"Refused to answer","Low-middle income",$35-50K,White,"College Degree",Col+,White,West,"College Degree+",1,Mod,6,,,Married,Married,26.00,No,No,Weekly,"Not sure",Yes,Utah,"402,161","White Rep","Married Female","69,578",Total,No,No,0,"Very likely",Moderate,No,21,21,"First Globals",Yes,McCain,7.5,Yes,No,,No,Yes,Yes,No,No,No,Yes,McCain,Republican,"Once a week",McCain,"Less than once a month",Republican,"Two or three times a month",No,Yes,No/NS
